"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
PIA,PIC (ADJ-A),(02328),0,0,0,4812,2279,2533,44
PIC,PICC P&C,(02328),2681,488,2193,30251,11712,18539,49
PIN,PICC GROUP,(01339),948,58,890,14166,8526,5640,39
PLE,GCL-POLY ENERGY,(03800),0,0,0,25,25,0,58
RFP,R&F PROPERTIES,(02777),339,316,23,11398,6640,4758,25
SAN,SANDS CHINA LTD,(01928),5389,2486,2903,99905,42175,57730,26
SHK,SUN HUNG KAI PPT LTD,(00016),2928,790,2138,41756,14063,27693,14
SNO,SUNNY OPT,(02382),1432,657,775,24060,12429,11631,45
SNP,SINOPHARM,(01099),1147,111,1036,7410,3530,3880,43
STC,STANCHART,(02888),76,20,56,7447,5049,2398,22
SUN,SUNAC,(01918),877,575,302,27152,9960,17192,42
SWA,SWIRE PACIFIC LTD 'A',(00019),540,197,343,6714,3346,3368,20
TCH,TENCENT HOLDINGS LTD,(00700),162208,91276,70932,1937611,946351,991260,22
TRF,TRACKER FUND OF HK,(02800),573,188,385,7493,3642,3851,14
VNK,CHINA VANKE,(02202),143,66,77,12314,3731,8583,42
WHL,THE WHARF (HLDGS) LTD,(00004),24,7,17,3875,1796,2079,24
WWC,WANT WANT CHINA,(00151),241,9,232,6058,2631,3427,28
XAB,ABC ($0.001),(01288),2316,1527,789,41922,19289,22633,19
XBC,BANK OF CHINA ($0.001),(03988),23878,6781,17097,1018257,495352,522905,21
XCC,CCB ($0.001),(00939),55861,25055,30806,1172366,575686,596680,21
XIC,ICBC ($0.001),(01398),11752,2971,8781,753680,351741,401939,21
XPB,PSBC,(01658),6,2,4,2964,1786,1178,20
XTW,CHINA TOWER,(00788),3057,1515,1542,88953,35473,53480,28
YZC,YANZHOU COAL,(01171),686,335,351,18151,8020,10131,32
ZJM,ZIJIN MINING GROUP,(02899),539,223,316,13481,7524,5957,44

,,"TOTAL",602419,307310,295109,11935948,5875868,6060080

                                                                                            
"TOP 10 TRADED (BY VOLUME)",,,,"VOLUME","SETTLEMENT PRICE","IV%","HIGH#","LOW#","OPEN INTEREST","SETTLEMENT PRICE CHANGE**","% CHANGE IN SETTLEMENT PRICE"

C,TCH,MAR19,370.00,16692,2.20,22,4.41,0.78,34579,-1.80,-45.00
C,XCC,APR19,7.25,14053,0.051,17,0.070,0.052,38872,-0.010,-16.393
P,XCC,MAR19,7.00,13031,0.110,21,0.125,0.085,17944,+0.005,+4.762
P,TCH,MAR19,360.00,11832,2.24,23,5.30,1.20,39160,-3.42,-60.42
C,TCH,MAR19,380.00,9891,0.44,22,1.41,0.16,29872,-1.26,-74.12
C,PAI,MAR19,85.00,8318,1.79,18,3.10,1.22,20937,-0.51,-22.17
P,TCH,MAR19,350.00,8298,0.36,23,1.93,0.25,25168,-1.90,-84.07
P,XCC,APR19,6.75,7623,0.073,17,0.085,0.074,30996,-0.005,-6.410
C,CPC,MAY19,6.75,5450,0.12,20,0.17,0.13,5213,-0.01,-7.69
C,TCH,MAR19,360.00,5339,7.03,21,10.27,3.29,29983,-1.30,-15.61

"TOP 5 UP (BY % CHANGE IN SETTLEMENT PRICE)"

P,SNP,MAR19,31.00,5,0.09,44,0.12,0.12,646,+0.08,+800.00
C,LIF,MAR19,1.50,46,0.08,65,0.07,0.04,101,+0.07,+700.00
C,LIF,JUN19,1.70,0,0.07,42,0.00,0.00,0,+0.06,+600.00
C,LIF,SEP19,1.85,0,0.07,39,0.00,0.00,0,+0.06,+600.00
C,LIF,DEC19,1.95,0,0.07,36,0.00,0.00,0,+0.06,+600.00

"TOP 5 DOWN (BY % CHANGE IN SETTLEMENT PRICE)"

P,TCH,MAR19,340.00,3285,0.03,23,1.00,0.06,21058,-0.65,-95.59
C,TCH,MAR19,400.00,808,0.01,25,0.14,0.05,19724,-0.15,-93.75
P,TCH,MAR19,330.00,475,0.01,28,0.20,0.04,28966,-0.14,-93.33
P,CKH,MAR19,80.00,125,0.04,21,0.14,0.05,2608,-0.51,-92.73
P,CKH,MAR19,77.50,5,0.01,26,0.03,0.03,2256,-0.11,-91.67


"* THE IMPLIED VOLATILITIES FOR AT THE MONEY CALL AND PUT SERIES FOR THE SPOT MONTH"
"** SETTLEMENT PRICE CHANGE FROM SETTLEMENT PRICE OF THE PREVIOUS TRADING DAY"
"('N/A' IF PREVIOUS PRICE IS NOT AVAILABLE)"

"CONTRACT",,,"OPENING PRICE#","DAILY HIGH#","DAILY LOW#","SETTLEMENT PRICE","CHANGE IN SETTLEMENT","IV%","VOLUME","OPEN INTEREST","CHANGE IN OI"
                                                                                            
"CLASS A50 - X ISHARES A50",,,"CLOSING PRICE HK$   14.34"

MAR19,7.50,C,0.00,0.00,0.00,6.84,-0.02,0,0,0,0
MAR19,7.75,C,0.00,0.00,0.00,6.59,-0.02,0,0,0,0
MAR19,8.00,C,0.00,0.00,0.00,6.34,-0.02,0,0,0,0
MAR19,8.25,C,0.00,0.00,0.00,6.09,-0.02,0,0,0,0
MAR19,8.50,C,0.00,0.00,0.00,5.84,-0.02,0,0,0,0
MAR19,8.75,C,0.00,0.00,0.00,5.59,-0.02,0,0,0,0
MAR19,9.00,C,0.00,0.00,0.00,5.34,-0.02,0,0,0,0
MAR19,9.25,C,0.00,0.00,0.00,5.09,-0.02,0,0,0,0
MAR19,9.50,C,0.00,0.00,0.00,4.84,-0.02,0,0,0,0
MAR19,9.75,C,0.00,0.00,0.00,4.59,-0.02,0,0,0,0
MAR19,10.00,C,0.00,0.00,0.00,4.34,-0.02,0,0,0,0
MAR19,10.50,C,0.00,0.00,0.00,3.84,-0.02,0,0,0,0
MAR19,11.00,C,0.00,0.00,0.00,3.34,-0.02,0,0,143,0
MAR19,11.50,C,0.00,0.00,0.00,2.84,-0.02,0,0,192,0
MAR19,12.00,C,0.00,0.00,0.00,2.34,-0.02,0,0,421,0
MAR19,12.50,C,0.00,0.00,0.00,1.84,-0.02,0,0,366,0
MAR19,13.00,C,1.30,1.30,1.20,1.34,-0.03,0,110,639,-24
MAR19,13.50,C,0.80,0.80,0.80,0.86,-0.02,31,2,860,0
MAR19,14.00,C,0.31,0.31,0.31,0.39,-0.03,22,25,1738,+25
MAR19,14.50,C,0.10,0.10,0.07,0.11,-0.02,24,228,3957,+108
MAR19,15.00,C,0.03,0.03,0.02,0.02,-0.01,25,441,2422,+134
MAR19,15.50,C,0.01,0.01,0.01,0.01,0.00,34,20,1333,0
MAR19,16.00,C,0.00,0.00,0.00,0.01,0.00,45,0,2118,0
MAR19,16.50,C,0.00,0.00,0.00,0.01,0.00,55,0,589,0
MAR19,17.00,C,0.00,0.00,0.00,0.01,0.00,65,0,83,0
MAR19,17.50,C,0.00,0.00,0.00,0.01,0.00,74,0,61,0
MAR19,18.00,C,0.00,0.00,0.00,0.01,0.00,82,0,109,0
MAR19,18.50,C,0.00,0.00,0.00,0.01,0.00,91,0,60,0
MAR19,19.00,C,0.00,0.00,0.00,0.01,0.00,99,0,4,0
MAR19,19.50,C,0.00,0.00,0.00,0.01,0.00,106,0,0,0
MAR19,20.00,C,0.00,0.00,0.00,0.01,0.00,114,0,0,0
MAR19,21.00,C,0.00,0.00,0.00,0.01,0.00,128,0,0,0
MAR19,22.00,C,0.00,0.00,0.00,0.01,0.00,141,0,0,0
MAR19,23.00,C,0.00,0.00,0.00,0.01,0.00,154,0,0,0
MAR19,24.00,C,0.00,0.00,0.00,0.01,0.00,165,0,0,0
APR19,7.50,C,0.00,0.00,0.00,6.85,-0.02,0,0,0,0
APR19,7.75,C,0.00,0.00,0.00,6.60,-0.02,0,0,0,0
APR19,8.00,C,0.00,0.00,0.00,6.35,-0.02,0,0,0,0
APR19,8.25,C,0.00,0.00,0.00,6.10,-0.02,0,0,0,0
APR19,8.50,C,0.00,0.00,0.00,5.85,-0.02,0,0,0,0
APR19,8.75,C,0.00,0.00,0.00,5.60,-0.02,0,0,0,0
APR19,9.00,C,0.00,0.00,0.00,5.35,-0.02,0,0,0,0
APR19,9.25,C,0.00,0.00,0.00,5.10,-0.02,0,0,0,0
APR19,9.50,C,0.00,0.00,0.00,4.85,-0.02,0,0,0,0
APR19,9.75,C,0.00,0.00,0.00,4.60,-0.03,0,0,0,0
APR19,10.00,C,0.00,0.00,0.00,4.36,-0.02,46,0,0,0
APR19,10.50,C,0.00,0.00,0.00,3.86,-0.02,40,0,0,0
APR19,11.00,C,0.00,0.00,0.00,3.36,-0.02,33,0,30,0
APR19,11.50,C,0.00,0.00,0.00,2.86,-0.02,28,0,135,0
APR19,12.00,C,0.00,0.00,0.00,2.36,-0.02,22,0,251,0
APR19,12.50,C,0.00,0.00,0.00,1.87,-0.02,22,0,313,0
APR19,13.00,C,0.00,0.00,0.00,1.40,-0.03,22,0,360,0
APR19,13.50,C,0.00,0.00,0.00,0.97,-0.03,22,0,870,0
APR19,14.00,C,0.00,0.00,0.00,0.61,-0.03,22,0,999,0
APR19,14.50,C,0.33,0.35,0.29,0.34,-0.03,21,332,2786,+331
APR19,15.00,C,0.19,0.19,0.16,0.18,-0.02,22,378,3511,+376
APR19,15.50,C,0.12,0.12,0.09,0.08,-0.02,22,62,742,+30
APR19,16.00,C,0.06,0.06,0.06,0.04,0.00,23,32,2903,0
APR19,16.50,C,0.04,0.04,0.04,0.02,0.00,24,3,473,0
APR19,17.00,C,0.00,0.00,0.00,0.01,0.00,25,0,190,0
