"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
SEP19,27.00,P,0.00,0.00,0.00,0.26,+0.03,20,0,12,0
SEP19,28.00,P,0.49,0.49,0.49,0.44,+0.04,21,2,634,+2
SEP19,29.00,P,0.00,0.00,0.00,0.68,+0.06,21,0,91,0
SEP19,30.00,P,0.00,0.00,0.00,0.99,+0.08,21,0,43,0
SEP19,31.00,P,0.00,0.00,0.00,1.31,+0.02,20,0,10,0
SEP19,32.00,P,0.00,0.00,0.00,1.84,+0.09,21,0,62,0
SEP19,33.00,P,0.00,0.00,0.00,2.39,+0.10,21,0,0,0
SEP19,34.00,P,0.00,0.00,0.00,2.97,+0.14,20,0,130,0
SEP19,35.00,P,0.00,0.00,0.00,3.71,+0.20,20,0,2,0
SEP19,36.00,P,0.00,0.00,0.00,4.48,+0.22,21,0,0,0
SEP19,37.00,P,0.00,0.00,0.00,5.30,+0.24,20,0,0,0
SEP19,38.00,P,0.00,0.00,0.00,6.17,+0.26,21,0,0,0
SEP19,39.00,P,0.00,0.00,0.00,7.07,+0.27,21,0,0,0
SEP19,40.00,P,0.00,0.00,0.00,7.99,+0.28,20,0,0,0
SEP19,41.00,P,0.00,0.00,0.00,8.94,+0.28,20,0,0,0
SEP19,42.00,P,0.00,0.00,0.00,9.90,+0.29,20,0,0,0
SEP19,43.00,P,0.00,0.00,0.00,10.88,+0.30,21,0,0,0
SEP19,44.00,P,0.00,0.00,0.00,11.86,+0.30,21,0,0,0
SEP19,45.00,P,0.00,0.00,0.00,12.85,+0.31,21,0,0,0
SEP19,46.00,P,0.00,0.00,0.00,13.84,+0.31,21,0,0,0
SEP19,47.00,P,0.00,0.00,0.00,14.83,+0.30,21,0,0,0
DEC19,19.50,P,0.00,0.00,0.00,0.01,0.00,23,0,0,0
DEC19,20.00,P,0.00,0.00,0.00,0.01,0.00,22,0,160,0
DEC19,21.00,P,0.00,0.00,0.00,0.01,0.00,20,0,30,0
DEC19,22.00,P,0.00,0.00,0.00,0.02,0.00,19,0,2,0
DEC19,23.00,P,0.00,0.00,0.00,0.05,0.00,20,0,20,0
DEC19,24.00,P,0.00,0.00,0.00,0.09,+0.01,20,0,40,0
DEC19,25.00,P,0.00,0.00,0.00,0.16,+0.01,20,0,40,0
DEC19,26.00,P,0.00,0.00,0.00,0.26,+0.02,19,0,1,0
DEC19,27.00,P,0.00,0.00,0.00,0.41,+0.03,20,0,77,0
DEC19,28.00,P,0.67,0.67,0.67,0.64,+0.05,20,2,68,+2
DEC19,29.00,P,0.00,0.00,0.00,0.91,+0.06,20,0,233,0
DEC19,30.00,P,0.00,0.00,0.00,1.25,+0.07,20,0,14,0
DEC19,31.00,P,0.00,0.00,0.00,1.66,+0.08,20,0,4,0
DEC19,32.00,P,0.00,0.00,0.00,2.13,+0.08,20,0,66,0
DEC19,33.00,P,0.00,0.00,0.00,2.68,+0.09,20,0,0,0
DEC19,34.00,P,0.00,0.00,0.00,3.26,+0.08,20,0,0,0
DEC19,35.00,P,0.00,0.00,0.00,3.95,+0.17,20,0,0,0
DEC19,36.00,P,0.00,0.00,0.00,4.69,+0.20,20,0,0,0
DEC19,37.00,P,0.00,0.00,0.00,5.47,+0.21,20,0,0,0
DEC19,38.00,P,0.00,0.00,0.00,6.31,+0.23,20,0,0,0
DEC19,39.00,P,0.00,0.00,0.00,7.18,+0.24,20,0,0,0
DEC19,40.00,P,0.00,0.00,0.00,8.08,+0.26,20,0,10,0
DEC19,41.00,P,0.00,0.00,0.00,9.00,+0.26,19,0,0,0
DEC19,42.00,P,0.00,0.00,0.00,9.95,+0.27,20,0,0,0
MAR20,23.00,P,0.00,0.00,0.00,0.10,+0.01,20,0,0,0
MAR20,24.00,P,0.00,0.00,0.00,0.16,+0.01,19,0,0,0
MAR20,25.00,P,0.00,0.00,0.00,0.26,+0.01,19,0,0,0
MAR20,26.00,P,0.00,0.00,0.00,0.40,+0.02,19,0,0,0
MAR20,27.00,P,0.00,0.00,0.00,0.58,+0.03,19,0,3,0
MAR20,28.00,P,0.81,0.81,0.81,0.84,+0.04,20,8,9,+8
MAR20,29.00,P,0.00,0.00,0.00,1.15,+0.06,20,0,2,0
MAR20,30.00,P,0.00,0.00,0.00,1.51,+0.08,20,0,0,0
MAR20,31.00,P,0.00,0.00,0.00,1.91,+0.07,20,0,1,0
MAR20,32.00,P,0.00,0.00,0.00,2.38,+0.05,20,0,8,0
MAR20,33.00,P,0.00,0.00,0.00,2.92,+0.07,19,0,0,0
MAR20,34.00,P,0.00,0.00,0.00,3.53,+0.15,19,0,0,0
MAR20,35.00,P,0.00,0.00,0.00,4.19,+0.17,19,0,0,0
MAR20,36.00,P,0.00,0.00,0.00,4.90,+0.18,19,0,0,0
MAR20,37.00,P,0.00,0.00,0.00,5.67,+0.20,19,0,0,0
MAR20,38.00,P,0.00,0.00,0.00,6.47,+0.22,19,0,0,0
MAR20,39.00,P,0.00,0.00,0.00,7.31,+0.22,19,0,0,0
MAR20,40.00,P,0.00,0.00,0.00,8.19,+0.24,19,0,0,0
MAR20,41.00,P,0.00,0.00,0.00,9.09,+0.25,19,0,0,0
MAR20,42.00,P,0.00,0.00,0.00,10.02,+0.26,19,0,0,0

,,,,,,,"TOTAL PUT",,1907,33059,+1019


"CONTRACT",,,"OPENING PRICE#","DAILY HIGH#","DAILY LOW#","SETTLEMENT PRICE","CHANGE IN SETTLEMENT","IV%","VOLUME","OPEN INTEREST","CHANGE IN OI"
                                                                                            
"CLASS BYD - BYD COMPANY",,,"CLOSING PRICE HK$   51.35"

MAR19,32.00,C,0.00,0.00,0.00,19.36,+1.00,122,0,100,0
MAR19,33.00,C,0.00,0.00,0.00,18.36,+1.00,114,0,80,0
MAR19,34.00,C,0.00,0.00,0.00,17.36,+1.00,105,0,15,0
MAR19,35.00,C,0.00,0.00,0.00,16.36,+1.00,97,0,15,0
MAR19,36.00,C,0.00,0.00,0.00,15.36,+1.00,89,0,0,0
MAR19,37.00,C,0.00,0.00,0.00,14.36,+1.00,82,0,15,0
MAR19,38.00,C,0.00,0.00,0.00,13.36,+1.00,74,0,45,0
MAR19,39.00,C,0.00,0.00,0.00,12.36,+1.00,67,0,15,0
MAR19,40.00,C,0.00,0.00,0.00,11.36,+1.00,59,0,45,0
MAR19,41.00,C,0.00,0.00,0.00,10.36,+1.00,51,0,45,0
MAR19,42.00,C,0.00,0.00,0.00,9.36,+1.00,0,0,44,0
MAR19,43.00,C,0.00,0.00,0.00,8.36,+1.00,0,0,128,0
MAR19,44.00,C,0.00,0.00,0.00,7.36,+0.99,0,0,69,0
MAR19,45.00,C,0.00,0.00,0.00,6.37,+0.98,44,0,570,0
MAR19,46.00,C,0.00,0.00,0.00,5.39,+0.96,44,0,285,0
MAR19,47.00,C,4.47,4.47,4.47,4.43,+0.91,44,10,330,-10
MAR19,48.00,C,0.00,0.00,0.00,3.53,+0.85,44,0,1130,0
MAR19,49.00,C,2.26,2.46,2.10,2.62,+0.73,40,119,588,+11
MAR19,50.00,C,1.68,2.01,1.32,1.90,+0.59,41,262,5030,-186
MAR19,52.50,C,0.66,0.72,0.38,0.68,+0.28,43,178,1248,-90
MAR19,55.00,C,0.25,0.26,0.14,0.18,+0.09,45,418,4321,-46
MAR19,57.50,C,0.08,0.08,0.08,0.03,+0.01,45,50,992,-30
MAR19,60.00,C,0.04,0.04,0.04,0.01,0.00,50,35,437,-35
MAR19,62.50,C,0.00,0.00,0.00,0.01,0.00,62,0,1083,0
MAR19,65.00,C,0.02,0.02,0.02,0.01,0.00,72,15,2376,-15
MAR19,67.50,C,0.00,0.00,0.00,0.01,0.00,82,0,224,0
MAR19,70.00,C,0.00,0.00,0.00,0.01,0.00,92,0,171,0
MAR19,72.50,C,0.00,0.00,0.00,0.01,0.00,101,0,99,0
MAR19,75.00,C,0.00,0.00,0.00,0.01,0.00,110,0,137,0
MAR19,77.50,C,0.00,0.00,0.00,0.01,0.00,118,0,66,0
MAR19,80.00,C,0.00,0.00,0.00,0.01,0.00,126,0,198,0
MAR19,82.50,C,0.00,0.00,0.00,0.01,0.00,134,0,19,0
MAR19,85.00,C,0.00,0.00,0.00,0.01,0.00,141,0,175,0
MAR19,87.50,C,0.00,0.00,0.00,0.01,0.00,148,0,0,0
MAR19,90.00,C,0.00,0.00,0.00,0.01,0.00,155,0,0,0
MAR19,92.50,C,0.00,0.00,0.00,0.01,0.00,162,0,0,0
MAR19,95.00,C,0.00,0.00,0.00,0.01,0.00,168,0,0,0
MAR19,97.50,C,0.00,0.00,0.00,0.01,0.00,175,0,0,0
MAR19,100.00,C,0.00,0.00,0.00,0.01,0.00,181,0,195,0
APR19,34.00,C,0.00,0.00,0.00,17.40,+1.00,0,0,0,0
APR19,35.00,C,0.00,0.00,0.00,16.40,+0.99,0,0,0,0
APR19,36.00,C,0.00,0.00,0.00,15.41,+1.00,40,0,0,0
APR19,37.00,C,0.00,0.00,0.00,14.41,+1.00,36,0,0,0
APR19,38.00,C,0.00,0.00,0.00,13.41,+0.99,32,0,0,0
APR19,39.00,C,0.00,0.00,0.00,12.42,+0.99,34,0,0,0
APR19,40.00,C,0.00,0.00,0.00,11.44,+0.99,36,0,68,0
APR19,41.00,C,0.00,0.00,0.00,10.46,+0.98,35,0,0,0
APR19,42.00,C,9.45,9.45,9.45,9.50,+0.97,35,15,63,+15
APR19,43.00,C,7.65,7.65,7.65,8.55,+0.94,35,2,0,-2
APR19,44.00,C,0.00,0.00,0.00,7.63,+0.91,35,0,16,0
APR19,45.00,C,6.00,6.00,6.00,6.75,+0.88,35,2,42,0
APR19,46.00,C,0.00,0.00,0.00,5.91,+0.84,35,0,679,0
APR19,47.00,C,0.00,0.00,0.00,5.12,+0.80,35,0,417,0
APR19,48.00,C,0.00,0.00,0.00,4.38,+0.85,35,0,585,0
APR19,49.00,C,3.65,3.65,3.62,3.59,+0.65,33,4,106,+4
APR19,50.00,C,2.86,3.04,2.53,3.00,+0.58,33,261,408,+183
APR19,52.50,C,1.38,1.83,1.38,1.82,+0.43,34,51,1733,+2
APR19,55.00,C,0.85,1.05,0.85,1.02,+0.23,35,113,1001,+79
APR19,57.50,C,0.59,0.59,0.59,0.56,+0.17,35,1,510,+1
APR19,60.00,C,0.00,0.00,0.00,0.27,+0.09,35,0,437,0
APR19,62.50,C,0.00,0.00,0.00,0.12,+0.04,35,0,61,0
APR19,65.00,C,0.00,0.00,0.00,0.06,+0.03,36,0,268,0
APR19,67.50,C,0.08,0.08,0.06,0.02,0.00,35,287,496,+272
APR19,70.00,C,0.00,0.00,0.00,0.01,0.00,36,0,450,0
APR19,72.50,C,0.00,0.00,0.00,0.01,0.00,40,0,615,0
APR19,75.00,C,0.00,0.00,0.00,0.01,0.00,43,0,673,0
MAY19,36.00,C,0.00,0.00,0.00,15.47,+0.99,35,0,15,0
MAY19,37.00,C,0.00,0.00,0.00,14.49,+0.99,35,0,0,0
MAY19,38.00,C,0.00,0.00,0.00,13.51,+0.98,34,0,30,0
MAY19,39.00,C,0.00,0.00,0.00,12.55,+0.97,35,0,0,0
MAY19,40.00,C,0.00,0.00,0.00,11.60,+0.96,35,0,0,0
MAY19,41.00,C,0.00,0.00,0.00,10.66,+0.94,34,0,0,0
MAY19,42.00,C,0.00,0.00,0.00,9.76,+0.92,34,0,0,0
MAY19,43.00,C,0.00,0.00,0.00,8.88,+0.90,34,0,0,0
MAY19,44.00,C,0.00,0.00,0.00,8.03,+0.86,34,0,15,0
MAY19,45.00,C,0.00,0.00,0.00,7.22,+0.83,34,0,0,0
MAY19,46.00,C,0.00,0.00,0.00,6.45,+0.79,34,0,0,0
MAY19,47.00,C,0.00,0.00,0.00,5.73,+0.75,34,0,0,0
MAY19,48.00,C,0.00,0.00,0.00,5.05,+0.83,34,0,39,0
MAY19,49.00,C,0.00,0.00,0.00,4.30,+0.63,33,0,396,0
MAY19,50.00,C,3.62,3.62,3.62,3.74,+0.58,33,16,1488,0
MAY19,52.50,C,2.49,2.53,2.49,2.58,+0.46,34,38,916,+38
MAY19,55.00,C,1.72,1.72,1.72,1.71,+0.30,34,2,908,0
MAY19,57.50,C,1.12,1.12,1.12,1.13,+0.23,35,1,1771,+1
MAY19,60.00,C,0.74,0.74,0.74,0.71,+0.18,35,8,1243,0
MAY19,62.50,C,0.00,0.00,0.00,0.42,+0.11,35,0,498,0
MAY19,65.00,C,0.00,0.00,0.00,0.24,+0.07,35,0,147,0
MAY19,67.50,C,0.00,0.00,0.00,0.14,+0.04,35,0,15,0
MAY19,70.00,C,0.00,0.00,0.00,0.08,+0.03,35,0,53,0
MAY19,72.50,C,0.00,0.00,0.00,0.04,+0.01,35,0,27,0
MAY19,75.00,C,0.09,0.09,0.09,0.03,+0.01,36,9,72,+9
JUN19,32.00,C,0.00,0.00,0.00,19.47,+0.99,33,0,0,0
JUN19,33.00,C,0.00,0.00,0.00,18.48,+0.99,34,0,0,0
JUN19,34.00,C,0.00,0.00,0.00,17.49,+0.98,34,0,0,0
JUN19,35.00,C,0.00,0.00,0.00,16.51,+0.98,34,0,0,0
JUN19,36.00,C,0.00,0.00,0.00,15.54,+0.98,35,0,0,0
JUN19,37.00,C,0.00,0.00,0.00,14.57,+0.96,34,0,0,0
JUN19,38.00,C,0.00,0.00,0.00,13.62,+0.95,34,0,0,0
JUN19,39.00,C,0.00,0.00,0.00,12.69,+0.94,35,0,0,0
JUN19,40.00,C,0.00,0.00,0.00,11.77,+0.91,35,0,0,0
JUN19,41.00,C,0.00,0.00,0.00,10.88,+0.89,35,0,0,0
JUN19,42.00,C,0.00,0.00,0.00,10.02,+0.88,35,0,0,0
JUN19,43.00,C,0.00,0.00,0.00,9.18,+0.84,35,0,0,0
JUN19,44.00,C,0.00,0.00,0.00,8.38,+0.80,35,0,15,0
JUN19,45.00,C,0.00,0.00,0.00,7.62,+0.78,35,0,30,0
JUN19,46.00,C,0.00,0.00,0.00,6.88,+0.72,35,0,113,0
JUN19,47.00,C,0.00,0.00,0.00,6.21,+0.69,35,0,492,0
JUN19,48.00,C,0.00,0.00,0.00,5.56,+0.64,34,0,312,0
JUN19,49.00,C,0.00,0.00,0.00,4.82,+0.58,33,0,107,0
JUN19,50.00,C,3.98,4.07,3.98,4.29,+0.55,33,15,1090,0
JUN19,52.50,C,0.00,0.00,0.00,3.14,+0.44,34,0,1098,0
JUN19,55.00,C,0.00,0.00,0.00,2.22,+0.28,34,0,1227,0
JUN19,57.50,C,1.50,1.61,1.50,1.60,+0.22,34,26,291,+25
JUN19,60.00,C,1.14,1.14,1.14,1.13,+0.21,35,16,1131,+16
JUN19,62.50,C,0.00,0.00,0.00,0.75,+0.15,35,0,329,0
JUN19,65.00,C,0.00,0.00,0.00,0.49,+0.10,35,0,234,0
JUN19,67.50,C,0.00,0.00,0.00,0.31,+0.07,35,0,196,0
JUN19,70.00,C,0.00,0.00,0.00,0.20,+0.05,35,0,86,0
JUN19,72.50,C,0.00,0.00,0.00,0.12,+0.03,35,0,45,0
JUN19,75.00,C,0.00,0.00,0.00,0.08,+0.02,35,0,60,0
JUN19,77.50,C,0.00,0.00,0.00,0.04,+0.01,34,0,90,0
JUN19,80.00,C,0.00,0.00,0.00,0.03,+0.01,35,0,15,0
JUN19,82.50,C,0.00,0.00,0.00,0.02,+0.01,36,0,675,0
SEP19,34.00,C,0.00,0.00,0.00,17.67,+0.92,35,0,0,0
SEP19,35.00,C,0.00,0.00,0.00,16.75,+0.91,35,0,0,0
SEP19,36.00,C,0.00,0.00,0.00,15.85,+0.89,35,0,0,0
SEP19,37.00,C,0.00,0.00,0.00,14.96,+0.87,35,0,0,0
SEP19,38.00,C,0.00,0.00,0.00,14.10,+0.84,35,0,0,0
SEP19,39.00,C,0.00,0.00,0.00,13.26,+0.82,35,0,0,0
SEP19,40.00,C,0.00,0.00,0.00,12.45,+0.79,35,0,0,0
SEP19,41.00,C,0.00,0.00,0.00,11.66,+0.77,35,0,0,0
SEP19,42.00,C,0.00,0.00,0.00,10.90,+0.72,35,0,0,0
SEP19,43.00,C,0.00,0.00,0.00,10.18,+0.72,35,0,0,0
SEP19,44.00,C,0.00,0.00,0.00,9.47,+0.66,35,0,60,0
SEP19,45.00,C,0.00,0.00,0.00,8.82,+0.65,35,0,15,0
SEP19,46.00,C,0.00,0.00,0.00,8.16,+0.58,35,0,46,0
SEP19,47.00,C,0.00,0.00,0.00,7.58,+0.58,35,0,59,0
SEP19,48.00,C,0.00,0.00,0.00,7.00,+0.54,35,0,208,0
SEP19,49.00,C,0.00,0.00,0.00,6.46,+0.67,35,0,152,0
SEP19,50.00,C,0.00,0.00,0.00,5.78,+0.47,34,0,205,0
SEP19,52.50,C,0.00,0.00,0.00,4.68,+0.40,34,0,416,0
SEP19,55.00,C,0.00,0.00,0.00,3.75,+0.30,34,0,1232,0
SEP19,57.50,C,0.00,0.00,0.00,3.01,+0.18,35,0,35,0
SEP19,60.00,C,2.37,2.37,2.31,2.45,+0.18,35,160,216,+160
SEP19,62.50,C,0.00,0.00,0.00,1.93,+0.16,36,0,281,0
SEP19,65.00,C,0.00,0.00,0.00,1.46,+0.10,35,0,41,0
SEP19,67.50,C,0.00,0.00,0.00,1.16,+0.10,35,0,175,0
SEP19,70.00,C,0.00,0.00,0.00,0.86,+0.05,35,0,15,0
SEP19,72.50,C,0.00,0.00,0.00,0.66,+0.07,35,0,85,0
SEP19,75.00,C,0.00,0.00,0.00,0.50,+0.04,35,0,65,0
SEP19,77.50,C,0.00,0.00,0.00,0.37,+0.02,35,0,101,0
SEP19,80.00,C,0.00,0.00,0.00,0.28,+0.02,35,0,2,0
SEP19,82.50,C,0.00,0.00,0.00,0.21,+0.01,35,0,0,0
DEC19,34.00,C,0.00,0.00,0.00,18.11,+0.89,35,0,0,0
DEC19,35.00,C,0.00,0.00,0.00,17.24,+0.85,35,0,0,0
DEC19,36.00,C,0.00,0.00,0.00,16.41,+0.85,35,0,0,0
DEC19,37.00,C,0.00,0.00,0.00,15.58,+0.81,35,0,0,0
DEC19,38.00,C,0.00,0.00,0.00,14.79,+0.79,35,0,0,0
DEC19,39.00,C,0.00,0.00,0.00,14.02,+0.78,35,0,2,0
DEC19,40.00,C,0.00,0.00,0.00,13.26,+0.73,35,0,0,0
DEC19,41.00,C,0.00,0.00,0.00,12.55,+0.73,35,0,0,0
DEC19,42.00,C,0.00,0.00,0.00,11.84,+0.68,35,0,0,0
DEC19,43.00,C,0.00,0.00,0.00,11.18,+0.66,35,0,0,0
DEC19,44.00,C,0.00,0.00,0.00,10.54,+0.66,35,0,0,0
DEC19,45.00,C,0.00,0.00,0.00,9.90,+0.59,35,0,5,0
DEC19,46.00,C,0.00,0.00,0.00,9.33,+0.58,35,0,52,0
DEC19,47.00,C,0.00,0.00,0.00,8.77,+0.58,35,0,6,0
DEC19,48.00,C,0.00,0.00,0.00,8.20,+0.50,35,0,2,0
DEC19,49.00,C,0.00,0.00,0.00,7.71,+0.71,35,0,57,0
DEC19,50.00,C,0.00,0.00,0.00,7.01,+0.48,34,0,35,0
DEC19,52.50,C,0.00,0.00,0.00,5.94,+0.41,34,0,235,0
DEC19,55.00,C,0.00,0.00,0.00,4.98,+0.33,34,0,304,0
DEC19,57.50,C,0.00,0.00,0.00,4.19,+0.23,35,0,50,0
DEC19,60.00,C,0.00,0.00,0.00,3.58,+0.19,35,0,51,0
DEC19,62.50,C,0.00,0.00,0.00,3.06,+0.19,36,0,18,0
DEC19,65.00,C,0.00,0.00,0.00,2.48,+0.19,35,0,70,0
DEC19,67.50,C,0.00,0.00,0.00,2.06,+0.15,35,0,76,0
DEC19,70.00,C,0.00,0.00,0.00,1.68,+0.12,35,0,15,0
DEC19,72.50,C,0.00,0.00,0.00,1.40,+0.11,35,0,0,0
DEC19,75.00,C,0.00,0.00,0.00,1.13,+0.07,35,0,3,0
DEC19,77.50,C,0.00,0.00,0.00,0.94,+0.07,35,0,310,0
DEC19,80.00,C,0.00,0.00,0.00,0.76,+0.05,35,0,30,0
DEC19,82.50,C,0.00,0.00,0.00,0.63,+0.05,35,0,0,0
MAR20,38.00,C,0.00,0.00,0.00,15.49,+0.74,36,0,0,0
MAR20,39.00,C,0.00,0.00,0.00,14.78,+0.73,36,0,0,0
MAR20,40.00,C,0.00,0.00,0.00,14.08,+0.73,36,0,0,0
MAR20,41.00,C,0.00,0.00,0.00,13.38,+0.66,36,0,0,0
MAR20,42.00,C,0.00,0.00,0.00,12.75,+0.66,36,0,0,0
MAR20,43.00,C,0.00,0.00,0.00,12.12,+0.66,36,0,0,0
MAR20,44.00,C,0.00,0.00,0.00,11.49,+0.59,36,0,0,0
MAR20,45.00,C,0.00,0.00,0.00,10.93,+0.59,36,0,0,0
MAR20,46.00,C,0.00,0.00,0.00,10.37,+0.58,36,0,0,0
MAR20,47.00,C,0.00,0.00,0.00,9.82,+0.54,36,0,0,0
MAR20,48.00,C,0.00,0.00,0.00,9.30,+0.50,36,0,0,0
MAR20,49.00,C,0.00,0.00,0.00,8.56,+0.23,35,0,0,0
MAR20,50.00,C,0.00,0.00,0.00,8.10,+0.48,35,0,0,0
MAR20,52.50,C,0.00,0.00,0.00,7.05,+0.40,35,0,0,0
MAR20,55.00,C,0.00,0.00,0.00,6.09,+0.34,35,0,60,0
MAR20,57.50,C,0.00,0.00,0.00,5.30,+0.26,35,0,0,0
MAR20,60.00,C,0.00,0.00,0.00,4.64,+0.20,36,0,0,0
MAR20,62.50,C,0.00,0.00,0.00,4.09,+0.18,36,0,60,0
MAR20,65.00,C,0.00,0.00,0.00,3.49,+0.20,36,0,0,0
MAR20,67.50,C,0.00,0.00,0.00,3.00,+0.20,36,0,0,0
MAR20,70.00,C,0.00,0.00,0.00,2.57,+0.14,36,0,2,0
MAR20,72.50,C,0.00,0.00,0.00,2.20,+0.14,36,0,0,0

,,,,,,,"TOTAL CALL",,2114,49039,+402

MAR19,32.00,P,0.00,0.00,0.00,0.01,0.00,141,0,1369,0
MAR19,33.00,P,0.00,0.00,0.00,0.01,0.00,133,0,859,0
MAR19,34.00,P,0.00,0.00,0.00,0.01,0.00,124,0,92,0
MAR19,35.00,P,0.00,0.00,0.00,0.01,0.00,116,0,84,0
MAR19,36.00,P,0.00,0.00,0.00,0.01,0.00,108,0,800,0
MAR19,37.00,P,0.00,0.00,0.00,0.01,0.00,101,0,499,0
MAR19,38.00,P,0.00,0.00,0.00,0.01,0.00,93,0,667,0
MAR19,39.00,P,0.00,0.00,0.00,0.01,0.00,86,0,406,0
MAR19,40.00,P,0.00,0.00,0.00,0.01,0.00,79,0,728,0
MAR19,41.00,P,0.00,0.00,0.00,0.01,0.00,72,0,243,0
MAR19,42.00,P,0.00,0.00,0.00,0.01,0.00,65,0,548,0
MAR19,43.00,P,0.03,0.03,0.03,0.01,0.00,58,22,562,-17
MAR19,44.00,P,0.04,0.04,0.03,0.01,0.00,51,29,532,-2
MAR19,45.00,P,0.06,0.06,0.05,0.01,-0.02,44,137,1311,-111
MAR19,46.00,P,0.09,0.09,0.06,0.03,-0.04,44,214,820,+19
MAR19,47.00,P,0.15,0.17,0.11,0.08,-0.08,45,143,535,+104
MAR19,48.00,P,0.25,0.25,0.20,0.17,-0.16,45,14,563,+1
MAR19,49.00,P,0.52,0.52,0.34,0.34,-0.27,45,114,504,-18
MAR19,50.00,P,0.61,0.91,0.57,0.62,-0.39,45,336,727,-202
MAR19,52.50,P,1.86,2.22,1.86,1.89,-0.74,46,43,703,+13
MAR19,55.00,P,0.00,0.00,0.00,3.92,-0.95,52,0,269,0
MAR19,57.50,P,6.10,6.10,6.10,6.17,-0.98,44,2,188,0
MAR19,60.00,P,0.00,0.00,0.00,8.65,-1.00,0,0,71,0
MAR19,62.50,P,0.00,0.00,0.00,11.15,-1.00,0,0,19,0
MAR19,65.00,P,0.00,0.00,0.00,13.65,-1.00,0,0,0,0
MAR19,67.50,P,0.00,0.00,0.00,16.15,-1.00,0,0,0,0
MAR19,70.00,P,0.00,0.00,0.00,18.65,-1.00,0,0,0,0
MAR19,72.50,P,0.00,0.00,0.00,21.15,-1.00,0,0,15,0
MAR19,75.00,P,0.00,0.00,0.00,23.65,-1.00,0,0,15,0
MAR19,77.50,P,0.00,0.00,0.00,26.15,-1.00,0,0,15,0
MAR19,80.00,P,0.00,0.00,0.00,28.65,-1.00,0,0,15,0
MAR19,82.50,P,0.00,0.00,0.00,31.15,-1.00,0,0,45,0
MAR19,85.00,P,0.00,0.00,0.00,33.65,-1.00,0,0,60,0
MAR19,87.50,P,0.00,0.00,0.00,36.15,-1.00,0,0,0,0
MAR19,90.00,P,0.00,0.00,0.00,38.65,-1.00,0,0,2,0
MAR19,92.50,P,0.00,0.00,0.00,41.15,-1.00,0,0,0,0
MAR19,95.00,P,0.00,0.00,0.00,43.65,-1.00,0,0,2,0
MAR19,97.50,P,0.00,0.00,0.00,46.15,-1.00,0,0,0,0
MAR19,100.00,P,0.00,0.00,0.00,48.65,-1.00,0,0,13,0
APR19,34.00,P,0.04,0.04,0.04,0.01,0.00,49,77,425,+48
APR19,35.00,P,0.00,0.00,0.00,0.01,0.00,46,0,313,0
APR19,36.00,P,0.00,0.00,0.00,0.01,0.00,43,0,41,0
APR19,37.00,P,0.08,0.08,0.08,0.01,0.00,40,10,436,+10
APR19,38.00,P,0.11,0.12,0.11,0.01,0.00,37,80,287,0
APR19,39.00,P,0.13,0.13,0.13,0.02,-0.01,37,100,202,+70
APR19,40.00,P,0.17,0.17,0.17,0.03,-0.01,36,40,194,0
APR19,41.00,P,0.20,0.20,0.20,0.05,-0.02,35,100,487,+40
APR19,42.00,P,0.25,0.25,0.24,0.09,-0.03,36,49,321,+40
APR19,43.00,P,0.32,0.32,0.32,0.14,-0.06,35,26,730,-26
APR19,44.00,P,0.39,0.45,0.39,0.22,-0.09,35,7,765,-2
APR19,45.00,P,0.50,0.55,0.50,0.34,-0.12,35,23,1111,+17
APR19,46.00,P,0.66,0.66,0.66,0.50,-0.16,35,15,1119,+15
APR19,47.00,P,0.95,0.97,0.95,0.72,-0.21,36,20,657,0
APR19,48.00,P,1.17,1.17,1.01,0.98,-0.28,35,21,604,0
APR19,49.00,P,1.42,1.46,1.42,1.32,-0.34,36,6,204,-6
APR19,50.00,P,1.85,1.85,1.85,1.73,-0.40,36,20,1225,+20
APR19,52.50,P,3.04,3.04,3.04,3.04,-0.58,36,22,520,+22
APR19,55.00,P,0.00,0.00,0.00,4.76,-0.74,37,0,398,0
APR19,57.50,P,0.00,0.00,0.00,6.62,-0.84,35,0,0,0
APR19,60.00,P,0.00,0.00,0.00,8.85,-0.91,35,0,0,0
APR19,62.50,P,0.00,0.00,0.00,11.22,-0.96,35,0,0,0
APR19,65.00,P,0.00,0.00,0.00,13.66,-0.99,35,0,0,0
APR19,67.50,P,0.00,0.00,0.00,16.15,-1.00,0,0,0,0
APR19,70.00,P,0.00,0.00,0.00,18.65,-1.00,0,0,0,0
APR19,72.50,P,0.00,0.00,0.00,21.15,-1.00,0,0,0,0
APR19,75.00,P,0.00,0.00,0.00,23.65,-1.00,0,0,0,0
MAY19,36.00,P,0.00,0.00,0.00,0.02,-0.01,34,0,179,0
MAY19,37.00,P,0.00,0.00,0.00,0.04,-0.01,35,0,50,0
MAY19,38.00,P,0.00,0.00,0.00,0.06,-0.02,35,0,40,0
